song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",1546,3975,137,3872,773,3,0
"5_002. Avicii - Wake Me Up (Official Video).wav",1908,5237,47,3120,716,5,0
"7_092. Harry Potter Medley on Marimba.wav",1052,2502,49,3141,888,1,0
"29_010. Katy Perry - Part Of Me (Official).wav",2033,4197,43,4244,885,8,0
"46_032. Katy Perry - Wide Awake (Official Video).wav",1911,4496,71,4571,725,5,0
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",1650,7569,31,2431,582,3,0
"97_075. Lindsey Stirling - Prism (Official Video).wav",1822,4794,41,3120,993,7,0
"84_001. Anna Kendrick - Cups.wav",1244,2353,76,3261,694,2,0
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",1328,3718,30,1866,440,2,0
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",1707,3991,37,2330,602,4,0
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",1508,3197,47,2505,595,4,0
"15_060. My OCD (Song).wav",1746,4130,70,3157,750,7,0
"85_011. Martin Garrix - Animals (Official Video).wav",2138,10878,57,2419,702,8,1
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",1750,3966,70,4681,689,2,0
"2_023. Rachel Platten - Fight Song (Official Video).wav",1363,3291,36,2252,635,4,0
"17_084. Thomas Rhett - Crash and Burn.wav",1498,4114,54,3309,552,3,0
"28_074. American Authors - Best Day Of My Life.wav",1610,5108,38,2297,616,3,0
"4_003. Lorde - Royals (US Version).wav",1898,8063,34,1984,525,3,0
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",1899,3612,76,3148,844,5,0
"0_096. Nightcore - Mad World.wav",917,1950,26,1274,410,1,0
"77_065. Nightcore - Ghostbusters.wav",1141,3126,32,1932,522,1,0
"71_083. My Singing Monsters - Plant Island Theme.wav",554,1773,16,768,253,0,0
"37_063. Bastille - Pompeii (Official Music Video).wav",1532,3356,39,2273,637,3,0
"95_053. Avicii - Hey Brother.wav",2166,8538,48,2698,620,5,0
"94_Banana Man.wav",1709,4091,41,2462,600,4,0
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",1629,2863,39,2144,558,4,0
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",1640,3473,44,2609,656,4,0
"42_046. Meghan Trainor - NO.wav",1635,4150,42,2625,638,6,0
"73_Turn the Lights Off.wav",1337,3541,48,1571,434,2,0
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",1499,3467,36,2362,516,3,0
"18_044. tony igy-stop in my mind.wav",2082,5206,51,3558,682,4,0
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",2098,7222,45,3084,748,4,0
"31_058. Rub Some Bacon on It.wav",1327,4209,31,1708,469,2,0
"59_014. Avicii - Hey Brother (Lyric).wav",2282,8083,46,2767,714,6,0
"35_036. Fall Out Boy - Centuries (Official Video).wav",1829,3531,45,2987,667,5,0
"1_028. Capital Cities - Safe And Sound.wav",2021,7373,37,2414,607,8,0
"48_027. MAGIC! - Rude (Official Video).wav",1570,3098,42,2286,543,3,0
"82_A Lady.wav",424,1665,10,476,163,0,0
"55_009. Taylor Swift - Shake It Off.wav",2025,5193,38,2447,660,6,0
"13_030. Maroon 5 - Animals.wav",1987,3580,46,2895,740,8,0
"8_081. The Beach Boys - I Get Around.wav",723,1823,21,996,350,0,0
"3_100. Owl City & Carly Rae Jepsen - Good Time (Official Video).wav",1363,2931,35,1991,534,2,0
"60_057. Get Off The Phone Song.wav",1295,2795,34,2004,504,2,0
"80_077. Emeli Sandé - Hurts.wav",1583,3067,40,2284,559,4,0
"10_012. Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding.wav",1511,4183,36,2185,541,2,0
"34_The Trap.wav",1707,6321,43,2486,672,3,0
"78_026. Katy Perry - Firework (Official Music Video).wav",1630,4219,42,2349,621,4,0
"66_Cruel_Summer.wav",1405,2736,31,1453,412,2,0
"38_082. Smoke and Mirrors.wav",2073,4833,80,2962,704,6,0
"93_015. Lukas Graham - 7 Years [Official Music Video].wav",1442,3012,40,2230,566,3,0
"98_021. Alan Walker - Faded.wav",1348,2685,34,2037,518,2,0
"89_091. Faster Car - Anders Lystell feat. Kaliber [EPIDEMIC SOUND] (Lyrics).wav",1445,2840,36,2150,530,2,0
"20_Never Meant to Know.wav",1533,4463,35,2056,518,3,0
"50_006. Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack.wav",1686,4672,41,2262,577,4,0
"69_066. Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj.wav",1602,2547,42,2577,596,3,0
"83_004. Katy Perry - Roar.wav",1685,3303,45,2596,631,4,0
"54_016. Taylor Swift - Blank Space.wav",2104,4735,44,2652,625,5,0
"79_095. Alan Walker - Alone.wav",954,2058,25,1291,410,1,0
"26_017. David Guetta - Titanium ft. Sia (Official Video).wav",1666,3759,39,2330,591,3,0
"33_076. Galantis - Firebird (Official Audio).wav",2065,6066,41,2527,628,5,0
"53_102. What.wav",1475,3157,44,2175,560,3,0
"81_013. Passenger  Let Her Go (Official Video).wav",1739,3605,42,2439,658,5,0
"39_051. Galantis - No Money (Official Video).wav",1199,2876,34,2018,726,3,0
"91_Greener.wav",1408,3846,58,4041,802,4,0
"76_073. Lindsey Stirling - Crystallize (Dubstep Violin Original Song).wav",2303,4720,88,3019,691,6,0
"104_024. twenty one pilots Stressed Out [OFFICIAL VIDEO].wav",1561,3197,36,2145,558,3,0
"99_080. Melanie Martinez - Carousel (Official Music Video).wav",1774,4445,38,2373,610,4,0
"45_005. OneRepublic - Counting Stars.wav",1926,3614,44,3035,758,6,0
"47_020. Warriors (ft. Imagine Dragons)  Worlds 2014 - League of Legends.wav",1186,3050,28,1442,467,2,0
"19_054. Owl City - When Can I See You Again (From Wreck it Ralph).wav",1765,3739,36,2218,633,4,0
"105_101. Yann Tiersen - Comptine d`un autre ete - l`apres-midi.wav",441,1971,25,1219,407,0,0
"51_088. Steven Universe - We Are The Crystal Gems.wav",764,1449,24,1219,413,0,0
"16_038. P!nk - Just Give Me A Reason ft. Nate Ruess.wav",1508,3490,40,2354,624,3,0
"70_You and Me.wav",1111,2587,29,1465,428,1,0
"87_079. twenty one pilots Heathens (from Suicide Squad The Album) [OFFICIAL VIDEO].wav",1607,3635,35,2126,557,3,0
"64_097. Nightcore - Running With the Wolves [Lyrics].wav",991,1769,29,1509,462,1,0
"44_Sacred Beast.wav",841,2246,22,1109,372,1,0
"63_087. Anaconda - Nicki Minaj  The Fitness Marshall  Dance Workout.wav",1262,2428,31,1830,459,2,0
"32_086. Olly Murs - Grow Up (Official Video).wav",1637,3474,42,2491,619,4,0
"62_061. LEFT SCREEN ONLY Spot the Differences.wav",1353,2459,42,2470,684,2,0
"22_094. Harry Potter Puppet Pals - The Mysterious Ticking Noise (Video With Lyrics).wav",618,2360,21,1090,334,0,0
"68_055. Madness - Our House (Official 4K Video).wav",1652,4763,38,2362,650,4,0
"30_Cannibal.wav",1200,2623,34,2068,600,2,0
"49_050. Carly Rae Jepsen - I Really Like You.wav",1293,2142,35,2064,594,2,0
"61_045. The Black Eyed Peas - I Gotta Feeling (Official Music Video).wav",2602,10287,70,2855,799,7,0
"57_Numb.wav",1207,3211,30,1559,509,2,0
"86_019. Naughty Boy - La la la ft. Sam Smith (Official Video).wav",1664,4410,40,2428,629,3,0
"100_059. Nilla Wafer Top Hat Time  Song - Rhett & Link.wav",999,2533,29,1423,452,1,0
"90_064. Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video).wav",1479,3099,35,2154,607,3,0
"23_048. Pharrell Williams - Happy (Official Music Video).wav",1756,4881,40,2760,696,5,0
"24_047. Girls Talk Boys (from the Ghostbusters Original Motion Picture Soundtrack).wav",1688,4067,40,2359,615,4,0
"74_029. David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack.wav",1148,2271,32,1918,530,1,0
"58_039. OMFG - Hello.wav",1642,4317,37,2140,595,3,0
"36_072. Jessie J - Price Tag ft. B.o.B.wav",1717,3196,40,2589,666,4,0
"43_098. Nightcore~ The Wolf.wav",1251,2289,34,2209,582,2,0
"41_The Bidding.wav",1024,2724,27,1402,430,2,0
"25_035. Alan Walker - Sing Me To Sleep.wav",1335,2694,32,1926,490,2,0
"96_089. American Boy by Estelle and Kanye West.wav",1556,3639,42,2418,652,4,0
"52_007. Katy Perry - Dark Horse ft. Juicy J.wav",1600,3123,36,2254,633,3,0
"103_037. Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna.wav",1929,5778,46,2304,610,4,0
