song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",940,1469,87,3617,891,1,0
"5_002. Avicii - Wake Me Up (Official Video).wav",1359,2381,43,3142,741,2,0
"7_092. Harry Potter Medley on Marimba.wav",811,1516,50,3561,933,0,0
"29_010. Katy Perry - Part Of Me (Official).wav",1526,1979,46,2544,781,2,0
"46_032. Katy Perry - Wide Awake (Official Video).wav",1325,2283,47,3192,769,3,0
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",1165,4037,33,1853,527,1,8
"97_075. Lindsey Stirling - Prism (Official Video).wav",1176,2247,38,2447,693,2,0
"84_001. Anna Kendrick - Cups.wav",853,838,39,2490,706,0,0
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",974,1881,28,1496,501,1,0
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",1339,2540,35,2035,608,2,0
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",1143,1509,39,2284,637,2,0
"15_060. My OCD (Song).wav",1218,1999,44,3108,761,2,0
"85_011. Martin Garrix - Animals (Official Video).wav",1550,6823,31,1709,505,2,0
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",1458,2790,42,2619,711,2,0
"2_023. Rachel Platten - Fight Song (Official Video).wav",901,1390,32,1842,578,1,0
"17_084. Thomas Rhett - Crash and Burn.wav",977,1956,33,1914,571,1,0
"28_074. American Authors - Best Day Of My Life.wav",1134,2928,34,2088,596,2,0
"4_003. Lorde - Royals (US Version).wav",1371,4447,31,1783,521,2,0
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",1401,2274,48,3387,841,2,0
"0_096. Nightcore - Mad World.wav",683,1118,24,1391,470,0,0
"77_065. Nightcore - Ghostbusters.wav",736,2343,31,1860,596,0,0
"71_083. My Singing Monsters - Plant Island Theme.wav",495,2758,16,833,263,0,0
"37_063. Bastille - Pompeii (Official Music Video).wav",1026,1944,36,2115,642,1,0
"95_053. Avicii - Hey Brother.wav",1356,3099,40,2485,701,2,0
"94_Banana Man.wav",1188,2658,38,2261,721,2,0
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",961,1582,36,2379,931,2,0
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",1191,1928,62,5556,1047,3,0
"42_046. Meghan Trainor - NO.wav",1127,2049,64,4827,922,2,0
"73_Turn the Lights Off.wav",878,1651,56,3550,765,1,0
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",1015,1771,60,4481,915,2,0
"18_044. tony igy-stop in my mind.wav",1698,3338,74,5910,1103,4,0
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",1493,5581,67,5707,1154,4,0
"31_058. Rub Some Bacon on It.wav",894,1872,45,3255,486,1,0
"59_014. Avicii - Hey Brother (Lyric).wav",1408,3236,59,2744,719,2,0
"35_036. Fall Out Boy - Centuries (Official Video).wav",1315,1658,49,3305,1170,3,0
"1_028. Capital Cities - Safe And Sound.wav",1357,2867,41,2803,632,2,0
"48_027. MAGIC! - Rude (Official Video).wav",1227,2537,36,2662,668,2,0
"82_A Lady.wav",301,1087,11,805,263,0,0
"55_009. Taylor Swift - Shake It Off.wav",1280,2304,67,2925,728,2,0
"13_030. Maroon 5 - Animals.wav",1398,1885,48,3899,931,4,0
"8_081. The Beach Boys - I Get Around.wav",450,922,34,1599,361,0,0
"3_100. Owl City & Carly Rae Jepsen - Good Time (Official Video).wav",971,1572,34,2317,769,1,0
"60_057. Get Off The Phone Song.wav",974,1608,34,2364,640,1,0
"80_077. Emeli Sandé - Hurts.wav",1262,1979,40,2704,736,2,0
"10_012. Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding.wav",1241,3297,39,2422,719,1,0
"34_The Trap.wav",1237,3643,44,2965,858,2,0
"78_026. Katy Perry - Firework (Official Music Video).wav",1200,1786,40,2508,731,1,0
"66_Cruel_Summer.wav",828,1279,30,1765,545,1,0
"38_082. Smoke and Mirrors.wav",1399,2205,52,3925,947,3,0
"93_015. Lukas Graham - 7 Years [Official Music Video].wav",1037,1792,38,2561,727,1,0
"98_021. Alan Walker - Faded.wav",947,1126,35,2245,663,1,0
"89_091. Faster Car - Anders Lystell feat. Kaliber [EPIDEMIC SOUND] (Lyrics).wav",1130,1538,37,2410,766,2,0
"20_Never Meant to Know.wav",1038,2427,56,2778,666,1,0
"50_006. Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack.wav",1144,2505,38,2484,726,2,0
"69_066. Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj.wav",1464,2639,41,2922,799,3,0
"83_004. Katy Perry - Roar.wav",1273,1924,48,3473,998,3,0
"54_016. Taylor Swift - Blank Space.wav",1596,3818,47,5179,1131,6,0
"79_095. Alan Walker - Alone.wav",747,1046,42,2994,621,1,0
"26_017. David Guetta - Titanium ft. Sia (Official Video).wav",1265,1958,67,5052,1022,3,0
"33_076. Galantis - Firebird (Official Audio).wav",1429,2577,64,5061,1043,3,0
"53_102. What.wav",1085,2493,61,4450,884,2,0
"81_013. Passenger  Let Her Go (Official Video).wav",1220,1843,62,5564,1148,3,0
"39_051. Galantis - No Money (Official Video).wav",931,1553,56,4334,918,2,0
"91_Greener.wav",911,1524,58,5007,944,2,0
"76_073. Lindsey Stirling - Crystallize (Dubstep Violin Original Song).wav",1451,2761,84,8212,1017,3,0
"104_024. twenty one pilots Stressed Out [OFFICIAL VIDEO].wav",1161,2074,47,2626,745,3,0
"99_080. Melanie Martinez - Carousel (Official Music Video).wav",1220,2145,61,5363,1020,3,0
"45_005. OneRepublic - Counting Stars.wav",1393,2366,78,7147,1224,5,0
"47_020. Warriors (ft. Imagine Dragons)  Worlds 2014 - League of Legends.wav",758,1299,54,3389,723,1,0
"19_054. Owl City - When Can I See You Again (From Wreck it Ralph).wav",1270,1636,57,4719,971,3,0
"105_101. Yann Tiersen - Comptine d`un autre ete - l`apres-midi.wav",353,1496,38,2864,601,0,0
"51_088. Steven Universe - We Are The Crystal Gems.wav",603,865,40,2936,604,0,0
"16_038. P!nk - Just Give Me A Reason ft. Nate Ruess.wav",1129,1913,65,5486,1082,3,0
"70_You and Me.wav",787,1621,45,3507,734,1,0
"87_079. twenty one pilots Heathens (from Suicide Squad The Album) [OFFICIAL VIDEO].wav",1217,2162,63,4813,919,3,0
"64_097. Nightcore - Running With the Wolves [Lyrics].wav",764,1036,48,3547,752,1,0
"44_Sacred Beast.wav",571,1191,43,2500,592,0,0
"63_087. Anaconda - Nicki Minaj  The Fitness Marshall  Dance Workout.wav",952,1503,49,3774,794,1,0
"32_086. Olly Murs - Grow Up (Official Video).wav",1268,2617,67,5216,1006,3,0
"62_061. LEFT SCREEN ONLY Spot the Differences.wav",1153,2090,71,2825,768,2,0
"22_094. Harry Potter Puppet Pals - The Mysterious Ticking Noise (Video With Lyrics).wav",429,1262,22,1299,388,0,0
"68_055. Madness - Our House (Official 4K Video).wav",1246,3446,39,2528,741,2,0
"30_Cannibal.wav",803,1975,34,2234,686,1,0
"49_050. Carly Rae Jepsen - I Really Like You.wav",1080,1580,36,2204,638,2,0
"61_045. The Black Eyed Peas - I Gotta Feeling (Official Music Video).wav",1727,6173,51,4232,924,4,0
"57_Numb.wav",788,1460,32,1860,666,1,0
"86_019. Naughty Boy - La la la ft. Sam Smith (Official Video).wav",1073,2292,41,2782,821,2,0
"100_059. Nilla Wafer Top Hat Time  Song - Rhett & Link.wav",723,1128,29,1995,483,0,0
"90_064. Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video).wav",902,1360,38,2626,667,1,0
"23_048. Pharrell Williams - Happy (Official Music Video).wav",1420,3921,42,3298,762,3,0
"24_047. Girls Talk Boys (from the Ghostbusters Original Motion Picture Soundtrack).wav",1072,1898,41,2714,706,2,0
"74_029. David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack.wav",887,1133,34,2275,616,1,0
"58_039. OMFG - Hello.wav",1430,2914,38,2606,789,4,0
"36_072. Jessie J - Price Tag ft. B.o.B.wav",1240,1772,62,2734,827,2,0
"43_098. Nightcore~ The Wolf.wav",991,1428,37,2496,759,2,0
"41_The Bidding.wav",628,1005,41,1951,487,0,0
"25_035. Alan Walker - Sing Me To Sleep.wav",940,1229,33,2143,609,1,0
"96_089. American Boy by Estelle and Kanye West.wav",944,1481,44,2784,756,1,0
"52_007. Katy Perry - Dark Horse ft. Juicy J.wav",1132,1661,40,3967,797,1,0
"103_037. Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna.wav",1566,6059,40,2697,817,3,0
