song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",6493,120014,91,2907,580,28,7
"5_002. Avicii - Wake Me Up (Official Video).wav",5840,70126,41,2458,539,27,4
"7_092. Harry Potter Medley on Marimba.wav",6608,136634,42,2678,571,23,8
"29_010. Katy Perry - Part Of Me (Official).wav",6723,107270,36,2245,509,30,6
"46_032. Katy Perry - Wide Awake (Official Video).wav",5082,62104,42,2444,560,25,4
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",4837,65839,30,1744,426,20,4
"97_075. Lindsey Stirling - Prism (Official Video).wav",5096,50866,37,2197,533,17,3
"84_001. Anna Kendrick - Cups.wav",5332,64779,38,2309,557,23,4
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",3383,19612,26,1530,370,8,1
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",3661,26125,33,1906,443,11,1
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",4335,34082,35,1965,468,17,2
"15_060. My OCD (Song).wav",5764,42478,41,2341,571,24,2
"85_011. Martin Garrix - Animals (Official Video).wav",6245,119142,28,1678,379,24,7
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",6629,63611,41,2293,554,26,3
"2_023. Rachel Platten - Fight Song (Official Video).wav",3533,35053,31,1744,445,12,2
"17_084. Thomas Rhett - Crash and Burn.wav",4250,62707,32,1844,450,19,7
"28_074. American Authors - Best Day Of My Life.wav",4791,53926,33,1862,499,18,3
"4_003. Lorde - Royals (US Version).wav",5014,47138,29,1719,422,21,3
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",5803,70060,71,2764,649,25,4
"0_096. Nightcore - Mad World.wav",3125,38505,23,1081,334,7,10
"77_065. Nightcore - Ghostbusters.wav",3283,50381,28,1697,391,9,3
"71_083. My Singing Monsters - Plant Island Theme.wav",2939,46279,13,613,190,4,2
"37_063. Bastille - Pompeii (Official Music Video).wav",4833,76150,34,1890,457,19,12
"95_053. Avicii - Hey Brother.wav",6013,60241,37,2177,509,27,3
"94_Banana Man.wav",5787,74708,36,2031,511,26,5
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",3595,26016,33,1819,458,10,1
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",4424,37050,36,2046,507,18,10
"42_046. Meghan Trainor - NO.wav",4359,46833,33,1863,477,18,4
"73_Turn the Lights Off.wav",3671,56231,31,1260,347,11,3
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",3980,51783,30,1796,424,13,3
"18_044. tony igy-stop in my mind.wav",7124,112216,41,2396,545,32,6
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",8200,243252,41,2173,538,43,15
"31_058. Rub Some Bacon on It.wav",4414,57104,27,1251,342,14,3
"59_014. Avicii - Hey Brother (Lyric).wav",6670,68973,40,2104,515,32,4
"35_036. Fall Out Boy - Centuries (Official Video).wav",4867,44926,41,2295,517,19,2
"1_028. Capital Cities - Safe And Sound.wav",5665,62137,33,1814,460,22,3
"48_027. MAGIC! - Rude (Official Video).wav",3920,49945,33,1797,454,12,2
"82_A Lady.wav",1510,20719,10,399,126,1,1
"55_009. Taylor Swift - Shake It Off.wav",4148,40572,35,1898,470,15,2
"13_030. Maroon 5 - Animals.wav",6566,56940,41,2312,540,31,3
"8_081. The Beach Boys - I Get Around.wav",2345,24834,19,821,264,5,1
"3_100. Owl City & Carly Rae Jepsen - Good Time (Official Video).wav",4329,44692,29,1703,413,14,2
"60_057. Get Off The Phone Song.wav",3403,29031,31,1717,412,10,1
"80_077. Emeli Sandé - Hurts.wav",5343,51855,36,1938,463,19,3
"10_012. Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding.wav",5534,77278,35,1840,444,20,4
"34_The Trap.wav",8819,320936,40,2061,530,42,20
"78_026. Katy Perry - Firework (Official Music Video).wav",4644,74240,33,1807,462,17,12
"66_Cruel_Summer.wav",3372,16262,25,1196,348,8,0
"38_082. Smoke and Mirrors.wav",7892,124382,69,2464,582,42,7
"93_015. Lukas Graham - 7 Years [Official Music Video].wav",4070,49507,35,1791,492,16,3
"98_021. Alan Walker - Faded.wav",4251,47902,31,1711,446,11,3
"89_091. Faster Car - Anders Lystell feat. Kaliber [EPIDEMIC SOUND] (Lyrics).wav",4497,32733,34,1868,454,19,2
"20_Never Meant to Know.wav",6196,275031,35,1723,415,23,16
"50_006. Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack.wav",4031,22012,35,1908,480,17,1
"69_066. Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj.wav",4387,21436,39,2236,504,15,1
"83_004. Katy Perry - Roar.wav",5438,61898,42,2256,516,22,3
"54_016. Taylor Swift - Blank Space.wav",5588,57843,39,2217,511,22,3
"79_095. Alan Walker - Alone.wav",2256,18975,23,1087,328,4,1
"26_017. David Guetta - Titanium ft. Sia (Official Video).wav",4693,49001,35,1994,480,17,3
"33_076. Galantis - Firebird (Official Audio).wav",5652,65418,35,2066,518,24,3
"53_102. What.wav",4755,37800,30,1771,426,17,2
"81_013. Passenger  Let Her Go (Official Video).wav",4072,34134,39,2021,499,14,2
"39_051. Galantis - No Money (Official Video).wav",3239,26192,32,1670,409,9,1
"91_Greener.wav",4636,77190,31,1783,483,23,5
"76_073. Lindsey Stirling - Crystallize (Dubstep Violin Original Song).wav",6931,55232,55,2636,566,27,3
"104_024. twenty one pilots Stressed Out [OFFICIAL VIDEO].wav",3465,21922,32,1828,470,11,1
"99_080. Melanie Martinez - Carousel (Official Music Video).wav",4790,37650,34,1910,455,18,2
"45_005. OneRepublic - Counting Stars.wav",5136,53128,64,2372,552,24,3
"47_020. Warriors (ft. Imagine Dragons)  Worlds 2014 - League of Legends.wav",3299,34621,24,1162,335,10,2
"19_054. Owl City - When Can I See You Again (From Wreck it Ralph).wav",5510,43460,31,1864,458,20,3
"105_101. Yann Tiersen - Comptine d`un autre ete - l`apres-midi.wav",4039,107135,24,996,287,8,6
"51_088. Steven Universe - We Are The Crystal Gems.wav",2240,27897,21,998,315,4,1
"16_038. P!nk - Just Give Me A Reason ft. Nate Ruess.wav",4718,49149,40,2050,496,19,3
"70_You and Me.wav",3791,76700,24,1178,351,12,4
"87_079. twenty one pilots Heathens (from Suicide Squad The Album) [OFFICIAL VIDEO].wav",4130,33327,35,1774,433,14,10
"64_097. Nightcore - Running With the Wolves [Lyrics].wav",3245,26307,25,1249,352,8,1
"44_Sacred Beast.wav",3308,70290,19,848,277,7,4
"63_087. Anaconda - Nicki Minaj  The Fitness Marshall  Dance Workout.wav",3282,22176,27,1497,357,9,1
"32_086. Olly Murs - Grow Up (Official Video).wav",4862,88246,35,1946,486,18,5
"62_061. LEFT SCREEN ONLY Spot the Differences.wav",4439,30687,37,2025,491,14,1
"22_094. Harry Potter Puppet Pals - The Mysterious Ticking Noise (Video With Lyrics).wav",2706,36767,18,817,249,7,2
"68_055. Madness - Our House (Official 4K Video).wav",3993,52103,32,1750,451,15,3
"30_Cannibal.wav",4568,105967,29,1700,431,15,7
"49_050. Carly Rae Jepsen - I Really Like You.wav",4015,54771,30,1692,413,13,3
"61_045. The Black Eyed Peas - I Gotta Feeling (Official Music Video).wav",7411,92466,64,2271,554,38,5
"57_Numb.wav",4208,122816,26,1324,349,11,7
"86_019. Naughty Boy - La la la ft. Sam Smith (Official Video).wav",5586,58801,35,1948,507,25,3
"100_059. Nilla Wafer Top Hat Time  Song - Rhett & Link.wav",3079,28965,25,1200,348,9,1
"90_064. Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video).wav",4098,43286,30,1679,432,16,2
"23_048. Pharrell Williams - Happy (Official Music Video).wav",4076,47859,36,1946,483,15,2
"24_047. Girls Talk Boys (from the Ghostbusters Original Motion Picture Soundtrack).wav",4704,82064,35,1815,460,18,5
"74_029. David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack.wav",3227,36548,29,1557,389,9,2
"58_039. OMFG - Hello.wav",4587,41443,32,1751,448,14,2
"36_072. Jessie J - Price Tag ft. B.o.B.wav",4394,30287,35,1977,476,14,1
"43_098. Nightcore~ The Wolf.wav",3639,36737,37,1764,437,13,2
"41_The Bidding.wav",3883,92914,23,1043,313,12,5
"25_035. Alan Walker - Sing Me To Sleep.wav",3977,48903,27,1592,373,11,3
"96_089. American Boy by Estelle and Kanye West.wav",4167,45053,36,1998,501,14,2
"52_007. Katy Perry - Dark Horse ft. Juicy J.wav",10160,57389,34,1703,452,46,3
"103_037. Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna.wav",5601,77794,35,1899,473,22,4
