song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",10013,199654,96,3021,683,81,14
"5_002. Avicii - Wake Me Up (Official Video).wav",7263,74341,44,2636,647,54,5
"7_092. Harry Potter Medley on Marimba.wav",13115,559069,46,3219,683,104,36
"29_010. Katy Perry - Part Of Me (Official).wav",7773,55149,38,2333,593,62,3
"46_032. Katy Perry - Wide Awake (Official Video).wav",6730,62342,48,2851,637,59,4
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",6371,98837,31,2083,449,36,16
"97_075. Lindsey Stirling - Prism (Official Video).wav",7246,88941,41,2483,605,40,6
"84_001. Anna Kendrick - Cups.wav",6299,48125,42,2626,602,50,3
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",5269,44092,28,1418,452,28,2
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",4888,27793,38,2299,554,25,1
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",6787,66717,39,2441,535,49,4
"15_060. My OCD (Song).wav",10670,169501,46,3577,653,95,11
"85_011. Martin Garrix - Animals (Official Video).wav",7703,129583,38,1953,425,38,8
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",9260,139614,44,3251,947,116,14
"2_023. Rachel Platten - Fight Song (Official Video).wav",5181,57476,61,2444,471,33,3
"17_084. Thomas Rhett - Crash and Burn.wav",5115,44480,33,2310,487,29,3
"28_074. American Authors - Best Day Of My Life.wav",6589,98648,43,2428,593,37,7
"4_003. Lorde - Royals (US Version).wav",6446,69810,37,2145,512,39,5
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",7845,66910,55,3282,830,83,15
"0_096. Nightcore - Mad World.wav",4363,75580,38,1415,427,16,6
"77_065. Nightcore - Ghostbusters.wav",7976,320745,33,2021,560,68,28
"71_083. My Singing Monsters - Plant Island Theme.wav",5663,263792,17,757,269,23,24
"37_063. Bastille - Pompeii (Official Music Video).wav",6697,66009,40,2351,644,54,5
"95_053. Avicii - Hey Brother.wav",9277,121205,44,2629,720,76,10
"94_Banana Man.wav",8209,81978,43,2518,580,60,5
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",6398,63100,36,2341,629,39,5
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",6299,81636,47,2650,675,47,7
"42_046. Meghan Trainor - NO.wav",5117,41586,38,2229,621,28,2
"73_Turn the Lights Off.wav",4757,56405,32,1564,484,25,4
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",4865,36458,36,2292,563,27,2
"18_044. tony igy-stop in my mind.wav",13761,496416,49,2924,759,149,40
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",15272,886886,51,2704,712,160,70
"31_058. Rub Some Bacon on It.wav",6240,90047,29,2735,570,60,9
"59_014. Avicii - Hey Brother (Lyric).wav",9485,117844,80,2677,724,70,10
