"104_024. twenty one pilots Stressed Out [OFFICIAL VIDEO]_noise_-20dB_sample1.wav",162,6,5,4,8,6,6,10,5,4,6,6,8,7,6,6,8,5,9,8,4,6,3,6,6,5,6,7,5,7,7,6,6,7,6,6,4,5,4,9,6,4,7,7,5,7,5,7,6,6,5,4,7,6,6,6,4,7,4,5,6,5,5,6,5,5,3520,6,7,7,6,3,7,7,5,6,5,5,6,9,5,6,8,6,9,8,8,7,5,8,6,11,6,5,6,6,5,8,5,6,8
"78_026. Katy Perry - Firework (Official Music Video)_noise_-20dB_sample1.wav",164,6,5,3,8,6,10,6,7,6,8,8,8,8,7,5,6,4,4,7,4,6,5,8,7,6,8,8,6,5,6,6,6,7,6,5,5,7,3,6,6,6,6,5,5,10,6,1654,6,5,8,5,7,6,5,6,7,7,5,5,8,4,6,5,5,6,7,8,7,5,6,2,5,6,5,6,6,6,6,7,4,4,6,6,7,8,7,9,4,8,7,6,5,6,6,6,6,6,6,5,9
"105_101. Yann Tiersen - Comptine d`un autre ete - l`apres-midi_noise_-20dB_sample1.wav",149,7,9,6,8,7,13,7,6,5,7,7,8,6,11,8,8,9,6,10,5,6,7,10,6,6,8,5,7,6,7,6,7,9,6,8,11,6,4,9,7,6,6,7,7,6,7,5,7,7,6,8,9,8,8,8,6,9,6,9,6,6,6,9,10,7,10,7,9,8,8,368,6,9,9,8,6,10,6,6,5,8,7,10,7,8,6,8,7,8,8,8,8,5,7,7,5,7,6,5,8
"53_102. What_noise_-20dB_sample2.wav",147,6,6,5,10,7,8,7,6,6,7,7,7,8,7,5,9,6,6,6,5,6,5,7,6,7,6,6,6,6,6,6,6,5,6,6,7,7,3,8,6,4,6,6,7,7,5,6,5,6,7,6,8,5,6,7,7,7,6,6,6,1008,6,5,7,6,5,6,7,6,7,3,5,7,7,7,6,7,6,6,5,4,12,8,8,8,6,11,5,7,7,8,5,6,9,7,5,7,6,6,8
"64_097. Nightcore - Running With the Wolves [Lyrics]_noise_-20dB_sample1.wav",143,6,5,4,6,7,10,8,6,7,7,10,5,5,6,6,9,5,9,7,6,7,3,7,8,6,6,6,8,6,7,6,5,7,7,5,6,8,4,8,7,4,7,6,6,6,5,5,6,8,10,6,8,6,8,6,7,7,5,4,6,8,6,4,6,8,7,5,7,6,7,2,4,6,5,6,669,6,5,9,5,4,10,8,7,6,7,7,4,10,10,9,6,7,6,7,5,5,7,8,7
"52_007. Katy Perry - Dark Horse ft. Juicy J_noise_-20dB_sample2.wav",142,5,6,4,9,6,6,9,7,7,7,6,7,6,9,8,7,5,7,8,5,6,8,8,6,5,8,6,6,8,7,7,5,7,6,6,5,7,5,7,9,5,7,6,7,8,5,9,5,7,6,7,9,6,7,6,6,8,6,5,7,7,7,6,9,5,7,7,8,5,6,2,5,9,4,6,6,7,5,6,7,7,6,10,6,7,5,6,5,9,7,8,6,7,7,7,6,6,7,931,5
"0_096. Nightcore - Mad World_noise_-20dB_sample1.wav",141,5,4,3,8,8,8,8,6,7,9,7,6,9,6,6,7,5,7,6,3122,7,5,8,5,7,6,6,5,7,6,5,5,5,5,8,5,6,4,7,6,5,7,5,6,6,5,6,5,6,6,5,7,5,7,5,5,6,5,5,6,5,6,5,7,5,5,6,10,4,6,2,6,6,6,7,4,5,5,6,5,5,7,8,8,9,5,5,9,8,6,7,5,7,7,8,4,6,5,5,8
"100_059. Nilla Wafer Top Hat Time  Song - Rhett & Link_noise_-20dB_sample1.wav",143,6,6,4,8,6,7,7,7,6,8,6,9,6,7,6,9,6,7,9,6,8,5,7,6,7,7,7,8,6,7,6,6,6,6,6,7,8,3,8,6,5,5,5,6,5,5,7,7,7,10,7,10,8,6,7,8,9,8,6,6,5,7,6,6,6,7,6,9,5,5,2,5,6,7,8,5,8,6,6,5,4,8,8,9,7,5,10,2041,8,8,7,6,5,9,8,6,7,8,7,6
"103_037. Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna_noise_-20dB_sample1.wav",143,5,8,5,8,9,8,8,6,6,6,7,8,8,8,6,8,5,6,13,5,6,7,6,6,6,7,6,8,5,6,6,5,7,7,6,9,7,4,10,10,5,7,5,7,7,6,7,5,8,5,5,7,5,6,6,6,7,7,10,9,6,6,6,7,7,7,5,9,6,8,3,6,5,5,5,5,7,5,5,6,5,9,7,8,7,5,8,6,8,7,11,5,6,5,6,5,9,8,8,978
"77_065. Nightcore - Ghostbusters_noise_-20dB_sample2.wav",143,9,6,4,8,7,7,9,7,8,9,7,8,8,10,7,9,6,7,7,5,4567,6,7,6,8,14,7,8,9,8,7,6,6,5,7,5,8,4,11,8,6,8,6,7,7,7,8,9,7,6,6,8,7,6,8,6,7,5,6,8,6,6,7,8,9,7,9,8,6,8,3,6,8,10,7,6,6,8,8,8,5,8,6,11,8,5,8,6,8,10,9,7,8,8,8,5,6,8,6,10
"66_Cruel_Summer_noise_-20dB_sample1.wav",153,6,6,7,8,7,7,8,6,6,10,9,7,7,8,6,9,8,15,10,7,7,7,7,4,8,8,7,6,7,7,6,7,6,6,6,8,8,4,8,10,5,6,7,7,7,5,7,2882,8,6,6,9,5,7,8,10,5,5,5,6,7,6,5,7,5,7,5,7,5,7,3,5,6,5,5,6,6,8,7,6,6,8,9,8,10,8,8,5,8,6,7,8,6,7,8,5,7,6,4,8
"66_Cruel_Summer_noise_-20dB_sample2.wav",149,8,7,5,8,6,9,8,7,6,6,6,8,7,7,6,7,9,9,9,5,6,5,8,4,6,9,7,7,6,6,7,6,9,6,6,7,8,4,8,6,5,6,7,6,6,5,5,1473,7,6,5,8,6,5,5,6,8,6,6,7,7,7,7,8,5,9,8,8,6,8,5,6,5,6,6,6,6,6,6,6,4,7,10,8,10,7,8,7,9,8,7,6,7,8,8,5,7,6,6,7
"50_006. Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack_noise_-20dB_sample1.wav",149,6,5,3,7,8,7,7,5,5,9,7,7,8,8,6,8,6,5,10,5,6,4,6,8,5,8,5,6,5,5,7,5,6,9,6,8,8,3,7,6,6,10,6,7,9,5,6,6,6,8,6,6,6,2070,5,7,7,5,6,6,6,5,5,7,6,5,7,6,5,6,2,6,6,6,6,7,5,6,7,4,6,8,7,8,9,7,5,6,7,6,6,4,8,6,6,4,4,4,5,7
"45_005. OneRepublic - Counting Stars_noise_-20dB_sample2.wav",146,7,6,6,7,7,8,7,6,7,7,6,7,9,8,7,6,5,6,8,7,7,5,9,5,6,7,6,12,6,6,9,5,5,6,10,6,6,4,8,6,5,6,5,6,6,8,7,6,7,7,5,8,7,9,5,6,9,5,5,6,5,6,5,7,6,6,7,784,5,5,4,5,6,7,7,6,7,6,6,6,4,6,8,7,8,5,8,6,8,9,7,6,6,7,7,4,6,6,9,7
"46_032. Katy Perry - Wide Awake (Official Video)_noise_-20dB_sample2.wav",156,8,8,6,9,2293,8,6,8,7,10,7,9,11,7,7,6,7,4,10,6,7,5,6,8,5,9,6,6,6,7,6,6,9,8,5,8,8,4,19,6,4,10,7,6,10,5,10,6,8,10,6,8,7,24,8,8,8,8,6,8,7,6,6,7,6,6,9,10,8,6,2,6,8,5,6,6,8,8,8,6,6,9,12,9,7,8,7,5,7,10,8,6,6,8,17,5,7,6,7,12
"83_004. Katy Perry - Roar_noise_-20dB_sample1.wav",147,6,7,5,8,11,8,6,7,6,6,8,7,10,9,7,8,5,7,8,5,6,6,7,10,8,7,6,7,5,8,6,5,7,11,6,7,8,4,7,6,5,9,5,6,11,8,6,8,7,9,5,8,7,8,7,1066,7,8,7,8,5,6,5,6,9,7,6,8,4,6,3,5,8,6,6,5,8,5,7,4,4,9,6,8,10,5,7,6,7,9,6,6,9,6,8,5,6,9,6,9
"14_099. Sheppard Geronimo - [International Version] (Official music Video)_noise_-20dB_sample1.wav",143,6,5,5,8,6,9,8,5,6,7,6,7,8,6,7,6,7,7,7,6,10,6,8,5,6,1415,7,11,5,6,5,5,4,5,6,6,8,4,10,7,4,6,6,6,7,6,7,5,8,7,5,7,4,6,6,4,6,4,7,6,6,8,5,6,5,8,4,8,4,8,2,5,6,6,7,6,6,6,6,5,4,6,5,7,7,6,8,6,8,7,6,6,8,6,8,4,4,5,6,8
"54_016. Taylor Swift - Blank Space_noise_-20dB_sample1.wav",145,6,7,5,7,8,8,10,6,6,7,7,7,9,7,6,7,5,7,7,7,5,5,8,7,7,9,6,10,7,7,6,7,6,6,6,6,8,4,11,10,6,7,16,6,8,6,6,6,6,6,6,9,6,7,5,6,1692,6,6,6,6,7,5,7,6,5,6,6,6,8,4,5,16,8,6,6,8,7,8,5,6,8,8,6,15,8,8,5,7,9,11,5,6,9,8,5,7,6,6,6
"53_102. What_noise_-20dB_sample1.wav",143,6,5,5,7,8,7,7,8,5,9,7,8,6,8,5,6,6,6,6,4,7,6,8,6,7,9,7,6,7,6,6,6,6,8,5,7,7,5,10,8,5,7,7,6,7,6,7,5,8,7,6,8,6,5,7,7,8,8,5,7,966,6,7,6,7,6,8,9,6,6,5,6,7,6,7,7,6,7,9,7,5,9,7,8,7,5,8,6,7,9,7,6,7,6,7,6,7,9,5,8
"36_072. Jessie J - Price Tag ft. B.o.B_noise_-20dB_sample2.wav",141,6,5,4,8,6,7,7,7,6,7,8,7,6,8,5,8,5,7,7,5,9,5,6,5,7,7,7,7,5,7,5,5,7,6,7,6,8,3,8,7,5,6,8,6,5,5,7,7,8,6,6,10,6,6,9,7,6,5,6,7,6,6,6,6,9,6,5,7,4,7,3,4,7,7,9,5,6,6,6,5,7,7,8,8,6,5,8,6,7,8,7,7,5,3738,7,5,6,6,7,6
"31_058. Rub Some Bacon on It_noise_-20dB_sample1.wav",140,6,6,3,7,5,6,7,6,8,9,7,8,7,8,5,7,7,7,7,5,8,5,8,6,6,8,6,5,5,7,5,5,1130,5,6,6,9,4,9,6,4,6,5,5,5,6,6,6,8,5,7,7,7,7,6,6,7,5,6,6,6,7,5,7,6,7,6,7,6,6,3,5,6,5,6,4,6,6,6,4,6,10,6,10,8,5,8,8,9,8,8,7,7,6,7,5,6,5,8,10
"62_061. LEFT SCREEN ONLY Spot the Differences_noise_-20dB_sample1.wav",139,7,7,5,8,6,7,11,7,5,9,6,6,6,8,10,6,5,5,6,6,7,5,6,7,6,6,10,7,5,6,5,6,6,5,6,5,8,3,8,7,4,11,7,5,7,6,6,8,5,8,4,6,7,6,6,6,7,6,5,7,6,5,6,5,8,5,7,8,6,7,2,5,7,6,6,4,7,7,6,684,7,8,8,8,9,5,7,6,9,7,7,6,8,7,8,6,6,6,6,7
"7_092. Harry Potter Medley on Marimba_noise_-20dB_sample2.wav",144,5,6,547,7,9,8,7,5,5,9,5,9,8,7,6,8,8,6,9,6,7,7,7,9,6,7,8,7,6,6,8,4,7,5,7,5,8,5,8,7,6,7,6,9,6,6,6,6,6,5,5,9,5,7,7,7,6,6,7,7,7,8,8,9,7,8,7,8,7,7,3,8,7,7,6,5,6,6,5,5,6,8,7,8,8,9,7,5,11,9,7,5,6,6,10,5,6,7,6,9
"36_072. Jessie J - Price Tag ft. B.o.B_noise_-20dB_sample1.wav",145,7,8,5,9,8,6,7,7,5,6,7,7,8,7,8,10,5,8,9,7,7,4,8,8,7,10,9,8,6,6,7,6,6,7,8,6,9,3,10,6,4,7,5,7,7,9,6,8,8,9,7,20,8,5,7,8,7,6,6,6,6,6,6,6,8,6,6,10,6,6,3,7,6,6,8,5,7,7,6,6,4,10,5,7,9,5,7,5,10,6,7,8,8,1733,7,8,9,6,11,7
"91_Greener_noise_-20dB_sample1.wav",147,5,7,6,10,10,8,13,8,6,6,7,9,9,8,6,11,7,8,8,6,10,7,7,6,6,6,8,7,7,8,8,7,5,6,5,7,8,5,10,6,5,6,6,6,7,6,7,7,7,6,6,8,8,6,6,6,8,5,5,6,7,6,6,3869,5,5,7,7,5,9,4,5,7,6,6,8,9,7,6,6,5,6,9,9,7,6,8,9,9,10,7,9,7,6,7,8,6,7,7,8
"49_050. Carly Rae Jepsen - I Really Like You_noise_-20dB_sample2.wav",151,6,7,5,11,8,15,6,5,9,7,8,6,10,6,7,6,7,6,7,5,6,5,7,6,8,7,6,7,9,7,5,5,7,6,8,7,7,4,8,7,4,6,6,8,6,6,8,6,6,9,6,7,6,7,7,8,8,8,6,8,5,6,7,7,7,8,7,8,5,8,3,6,10,6,7,5,8,7,7,6,5,10,7,1158,7,6,9,5,13,7,8,5,5,7,8,5,7,7,6,10
"95_053. Avicii - Hey Brother_noise_-20dB_sample2.wav",145,6,6,3,9,8,10,8,8,6,7,7,8,9,6,6,8,5,9,6,6,7,5,7,684,5,8,6,8,6,6,6,5,7,317,6,6,8,3,8,8,4,9,6,6,8,6,8,5,7,8,5,7,6,8,7,8,8,6,7,9,7,7,5,6,7,7,7,7,5,7,4,9,7,7,6,5,7,6,7,6,5,7,6,9,7,7,8,5,8,7,8,5,8,6,7,6,7,6,7,8
"98_021. Alan Walker - Faded_noise_-20dB_sample2.wav",139,6,6,4,6,9,7,7,6,6,6,5,6,7,9,5,6,6,5,7,5,6,7,6,7,5,7,6,6,5,7,6,6,4,5,5,5,7,4,7,5,6,6,6,5,8,5,7,5,6,7,1463,7,8,7,6,9,6,5,6,6,5,5,5,6,6,6,5,8,6,5,4,6,5,5,6,5,7,5,6,6,4,9,6,7,8,5,7,7,9,7,5,6,6,6,6,5,6,6,6,6
"39_051. Galantis - No Money (Official Video)_noise_-20dB_sample1.wav",139,5,9,4,7,6,8,7,7,4,7,6,8,10,7,4,6,4,5,9,6,6,4,8,6,7,6,8,7,6,5,7,6,7,6,5,5,7,5,7,9,4,5,6,7,5,5,6,7,5,6,5,7,6,6,6,8,6,5,5,6,8,5,3408,6,5,6,4,9,5,10,3,4,6,4,5,5,6,5,7,6,6,8,7,7,9,7,8,6,7,7,6,5,4,6,6,5,10,6,5,7
"81_013. Passenger  Let Her Go (Official Video)_noise_-20dB_sample1.wav",141,7,5,4,7,6,6,6,11,6,8,8,5,5,7,5,7,7,6,6,6,5,5,9,7,7,7,6,8,6,6,6,6,5,4,5,4,6,3,6,8,4,7,5,6,6,5,6,5,6,5,5,8,8,5,7,7,6,5,5,6,6,2843,6,5,5,6,9,7,5,7,2,6,9,5,6,5,5,6,6,6,5,8,6,6,6,5,9,7,10,7,8,6,5,5,6,4,6,5,5,7
"89_091. Faster Car - Anders Lystell feat. Kaliber [EPIDEMIC SOUND] (Lyrics)_noise_-20dB_sample1.wav",143,7,7,5,11,6,8,7,9,6,9,8,7,7,7,7,9,6,6,7,5,6,6,7,6,7,8,7,7,6,7,7,7,8,7,6,8,10,3,7,6,5,6,8,6,6,7,6,8,5,8,5,2129,6,10,6,8,6,6,5,7,7,6,6,8,7,7,7,7,6,6,3,6,8,5,7,6,5,8,6,5,5,7,6,8,8,6,7,7,9,10,9,6,5,9,8,6,7,8,13,7
"4_003. Lorde - Royals (US Version)_noise_-20dB_sample2.wav",143,7,6,5,8,8,10,7,6,8,10,7,7,8,8,5,7,7,404,9,5,7,6,7,6,6,8,9,8,6,7,7,5,7,7,5,7,8,4,10,6,5,6,6,6,9,5,7,7,6,8,5,10,5,7,6,7,7,5,6,7,8,6,6,7,8,7,7,8,5,5,3,6,6,6,6,5,6,7,8,6,5,9,7,9,7,6,7,5,10,8,7,6,7,8,8,6,8,7,8,7
"28_074. American Authors - Best Day Of My Life_noise_-20dB_sample1.wav",142,6,8,4,8,7,6,7,6,6,11,7,6,6,7,5,10,1271,5,8,4,6,4,8,6,7,7,6,8,6,5,6,5,6,5,5,5,7,4,8,7,5,8,6,7,5,7,7,6,6,7,6,7,6,5,7,5,7,5,6,7,5,7,7,8,5,7,8,7,6,8,2,5,8,7,5,6,5,6,5,6,6,6,8,9,9,7,7,5,9,7,7,7,6,6,7,5,6,6,6,9
"84_001. Anna Kendrick - Cups_noise_-20dB_sample2.wav",144,6,6,4,10,8,7,8,5,6,7,7,7,11,7,6,10,7,7,10,6,6,5,7,5,7,7,7,5,6,7,5,6,5,6,6,7,7,3,11,6,5,6,6,8,6,5,7,7,5,7,6,9,5,8,6,9,6,6,6,5,5,8,5,7,6,7,7,9,6,6,2,7,7,5,6,4,6,7,7,8,5,8,8,6,9,5,8,5,7,8,7,6,6,7,8,7,6,6,7,8
