song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",3833,20888,133,3388,408,31,1
"5_002. Avicii - Wake Me Up (Official Video).wav",4256,24434,50,3503,367,34,1
"7_092. Harry Potter Medley on Marimba.wav",3145,16793,49,3305,545,21,1
"29_010. Katy Perry - Part Of Me (Official).wav",4991,37428,68,2916,341,50,2
"46_032. Katy Perry - Wide Awake (Official Video).wav",4830,32669,46,2791,363,45,2
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",3896,27977,32,2038,276,26,1
"97_075. Lindsey Stirling - Prism (Official Video).wav",5012,36784,42,2482,482,62,3
"84_001. Anna Kendrick - Cups.wav",3770,20556,66,2617,295,30,1
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",3058,18441,29,1489,240,18,1
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",4605,29088,37,2178,299,35,1
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",4251,27548,42,2337,303,38,1
"15_060. My OCD (Song).wav",4276,29876,69,2903,310,37,2
"85_011. Martin Garrix - Animals (Official Video).wav",3516,24207,44,1685,275,20,1
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",5099,35379,46,2656,369,41,2
"2_023. Rachel Platten - Fight Song (Official Video).wav",3397,19746,37,2056,274,24,1
"17_084. Thomas Rhett - Crash and Burn.wav",3913,28765,35,2312,262,27,1
"28_074. American Authors - Best Day Of My Life.wav",3336,18031,40,2130,249,19,1
"4_003. Lorde - Royals (US Version).wav",3338,18764,35,1920,214,14,1
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",5238,33196,52,2912,420,55,2
"0_096. Nightcore - Mad World.wav",2470,13140,26,1290,220,13,0
"77_065. Nightcore - Ghostbusters.wav",3091,25145,34,2172,247,18,1
"71_083. My Singing Monsters - Plant Island Theme.wav",1278,7779,16,762,129,3,0
"37_063. Bastille - Pompeii (Official Music Video).wav",3721,23665,42,2301,321,27,1
"95_053. Avicii - Hey Brother.wav",4056,24731,44,3138,366,26,1
"94_Banana Man.wav",3829,22346,41,3704,437,39,2
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",4116,26714,61,2764,277,34,1
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",4144,26704,39,2759,292,35,1
"42_046. Meghan Trainor - NO.wav",3973,23393,38,2856,273,34,1
"73_Turn the Lights Off.wav",2943,17805,28,1443,268,18,1
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",4003,27045,51,2625,308,33,1
"18_044. tony igy-stop in my mind.wav",4356,30091,47,3183,352,31,1
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",3847,25040,46,2680,349,29,2
"31_058. Rub Some Bacon on It.wav",2891,16517,49,1694,271,22,1
"59_014. Avicii - Hey Brother (Lyric).wav",4345,27256,69,2762,405,32,1
"35_036. Fall Out Boy - Centuries (Official Video).wav",4334,24894,45,2933,398,39,1
