"16_038. P!nk - Just Give Me A Reason ft. Nate Ruess_noise_-12.5dB_sample1.wav",186,9,15,50,20,22,6,30,11,13,4,2,65,11,218,24,10,146,14,23,2,516,29,14,50,38,7,13685,6,68,10,37,34,22,386,68,11,12,82,101,14,75,22,3,18,15,8,3,5,83,18,40,2,27,22,1,29,12,5,4,4,10,9,14,2,12,9,49,4,54,40,78,15,1128,23,35,7,8,5,3,3,25,4,13,6,18,22,12,3,6,2,61,71,2,16,2,14,34,19,25,4
"10_012. Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_noise_-12.5dB_sample1.wav",178,50,22,44,6,8,15,2,4,18,11,4,38,11,64,7,16,139,3,22,6,540,22,1,48,6,4,22814,4,2,2,11,3,10,494,3,12,1,15,71,2,53,22,8,2,834,82,34,3,4,16,11,2,6,7,3,11,3,14,5,5,2,10,3,1,8,5,56,2,49,17,19,9,6,26,32,2,9,4,5,0,0,5,15,5,83,0,3,1,6,4,64,74,0,10,1,13,54,10,24,4
"59_014. Avicii - Hey Brother (Lyric)_noise_-12.5dB_sample1.wav",170,14,5,32,3,9,22,1,5,29,23,7,29,30,47,25,41,155,9,24,7,523,22,3,863,5,10,20968,4,2,4,13,15,2,1486,15,12,0,19,66,4,66,14,2,2,29,24,7,3,66,134,21,10,13,17,2,4,11,14,6,20,6,2,9,9,18,6,55,2,46,4,42,79,9,10,3,3,54,0,3,3,11,2,15,5,37,8,4,1,5,7,63,66,8,4,5,23,41,34,25,10
"50_006. Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack_noise_-12.5dB_sample2.wav",170,115,59,322,42,46,17,72,53,33,9,12,31,22,183,28,8,142,6,23,11,503,49,3,81,80,31,15875,5,3,4,14,152,182,484,22,24,17,20,76,3,56,106,4,9,6,12,44,2,21,81,11,7,8,2576,4,50,91,23,8,6,18,15,7,1,165,5,55,5,49,9,160,5,29,31,24,152,62,2,11,1,10,15,13,26,10,92,28,6,28,4,59,77,5,165,6,13,224,2,27,15
"24_047. Girls Talk Boys (from the Ghostbusters Original Motion Picture Soundtrack)_noise_-12.5dB_sample1.wav",168,7,18,69,22,33,3,14,32,13,1,2,24,22,44,15,4,154,6,25,4,521,43,20,45,28,35,12775,5,3,6,19,49,43,410,72,12,1,33,66,12,53,18,3,29,8,4,3,4,45,6,137,3,178,26,0,5,37,1,8,3,3,4,38,15,17,22,45,15,54,30,149,4,30,29,11,6,8,13,3,2,7,3,11,22,4,39,18,1,8,4,1121,66,5,33,47,12,35,13,25,21
"74_029. David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack_noise_-12.5dB_sample2.wav",164,5,9,334,2,2,2,36,6,15,1,2,22,11,39,41,1,140,34,59,2,432,23,2,48,6,24,13284,6,6,49,14,28,2,428,73,37,0,8,66,30,69,6,1,26,3,5,2,15,29,3,17,5,13,7,3,2,0,2,2,1,1,11,6,32,26,20,51,63,53,101,270,1,6,58,59,3,9,4,1,11,10,1,25,1,7,3,39,163,2,0,63,634,0,97,1,13,38,13,25,33
"80_077. Emeli Sandé - Hurts_noise_-12.5dB_sample2.wav",165,23,73,1122,310,1086,2,61,258,22,2,17,23,266,386,51,8,136,73,56,4,473,374,69,48,215,102,20920,16,11,14,54,390,1122,436,26,195,7,84,68,6,52,4,7,2194,8,20,132,16,151,74,42,19,814,759,1,28,522,33,40,20,5,12,147,9,359,63,49,114,45,164,647,35,79,229,143,9,19,2,51,2,81,6,59,90,7,592,314,27,7,4,58,68,14,621,79,12,28,41,22,62
"82_A Lady_noise_-12.5dB_sample1.wav",181,15,25,198,62,52,4,45,29,48,9,8,133,252,2313,88,8,140,18,164,46,523,121,12,87,104,69,14933,30,8,104,67,86,87,452,81,29,2,9175,261,24,62,30,7,47,26,29,22,4,317,145,103,24,34,53,10,104,46,16,15,17,1,7,31,68,143,31,52,42,56,184,565,56,61,158,35,25,35,5,2,3,61,12,55,22,58,177,60,132,5,9,59,71,2,61,23,13,78,104,24,18
"57_Numb_noise_-12.5dB_sample2.wav",166,5,19,11,3,3,2,8,3,12,3,4,23,11,35,9,12,142,8,22,4,473,25,8,46,13,3,18695,7,50,12,48,27,5,282,20,11,5,11,66,17,41,12,4,3,8,6,4,4,6,3,138,4,5,4,1,2,0,1,3,1,3,17,8,10,4,10,48,11,47,24,99,1,7,30,3,6,3,2,19,2,4,5,13,1,15,1244,15,9,7,2,55,66,0,6,1,12,24,48,48,8
"25_035. Alan Walker - Sing Me To Sleep_noise_-12.5dB_sample1.wav",174,27,35,216,4,12,6,88,6,13,11,2,45,11,335,59,1,144,24,76,9,534,22,3,55,16,84,13422,12,120,53,177,34,13,484,75,16,1,72,84,26,58,9,18,32,8,16,6,7,56,18,195,14,44,8,11,55,8,10,6,3,3,6,21,36,41,16,53,41,335,73,162,32,25,234,42,17,31,4,16,2,7,16,75,25,38,15,44,205,2,3,61,106,0,120,5,11,2827,22,22,16
