"33_076. Galantis - Firebird (Official Audio)_noise_-15dB_sample1.wav",194,14,8,18,2,1,8,2,5,15,4,4,24,11,38,1,8,146,3,25,3,493,22,1,52,5,6,13024,12,3,3,17,9,6,389,3,11,1,12,66,5,49,8,2,1,5,10,5,7,17,3,3,9,18,8,8,2,0,2,11,358,0,4,1,1,4,11,54,2,49,7,25,2,17,5,2,2,4,4,5,1,4,1,18,2,5,1,4,1,4,1,66,75,1,17,4,13,28,9,25,6
"31_058. Rub Some Bacon on It_noise_-15dB_sample1.wav",164,4,11,13,3,2,12,10,11,13,3,5,22,24,37,6,8,132,6,22,4,482,22,4,52,5,4,21617,8,6,20,11,1,429,407,6,11,0,1,66,2,40,6,1,5,7,2,10,3,22,1,14,5,2,6,1,1,1,0,4,1,7,3,10,18,7,6,44,2,49,4,32,2,9,4,4,2,5,2,3,2,2,8,13,2,3,4,7,2,4,6,58,66,3,2,10,12,28,13,22,6
"15_060. My OCD (Song)_noise_-15dB_sample1.wav",160,35,6,48,11,3,3,6,5,15,4,5,836,11,44,9,8,142,10,28,5,498,23,20,44,8,17,15186,4,6,8,18,43,7,294,26,26,1,12,64,17,45,3,11,11,12,3,3,5,11,3,9,2,29,10,4,2,5,3,3,1,15,8,10,187,14,6,44,2,44,12,87,11,9,18,6,6,23,6,2,2,12,3,31,2,6,45,9,6,8,12,60,68,1,5,2,13,31,25,28,8
"70_You and Me_noise_-15dB_sample2.wav",172,16,21,543,212,311,4,71,93,16,2,11,24,138,130,111,24,144,28,71,1,518,112,25,133,192,60,11705,6,11,54,53,153,583,327,152,77,7,81,64,51,48,10,1,205,84,55,4,5,115,30,21,1,193,175,20,12,166,16,19,16,29,15,110,251,110,40,35,37,121,79,475,196,37,4318,132,5,60,2,6,7,25,13,269,37,32,268,106,276,15,4,55,66,5,180,37,11,59,21,25,43
"69_066. Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj_noise_-15dB_sample2.wav",188,14,3,5,3,3,2,0,6,15,2,10,24,15,44,12,4,138,6,23,1,528,22,0,48,4,0,22910,6,1,4,11,10,1,471,8,12,0,6,71,3,61,6,2,3,7,5,2,2,4,6,5,3,7,5,121,2,1,0,2,12,3,2,3,3,3,4,55,6,50,2,15,2,9,2,4,6,1,0,5,0,1,2,15,1,3,6,2,1,7,5,59,66,0,3,2,11,42,3,25,2
"45_005. OneRepublic - Counting Stars_noise_-15dB_sample2.wav",172,12,6,9,9,0,1,20,8,15,7,9,22,11,34,13,10,143,11,24,5,463,33,8,42,15,7,14556,5,3,6,11,7,3,369,2,11,1,6,66,4,57,15,2,15,3,8,2,1,68,1,8,2,8,4,2,10,0,1,4,3,2,4,6,23,4,6,51,334,48,8,20,7,7,1,2,7,3,4,3,1,12,0,13,4,2,8,6,3,4,4,57,66,1,4,7,15,34,12,25,9
"4_003. Lorde - Royals (US Version)_noise_-15dB_sample2.wav",169,20,3,343,6,8,2,4,8,14,9,4,45,13,362,28,4,139,288,333,2,523,22,7,44,10,5,12926,6,11,3,13,73,16,458,29,12,1,93,71,9,63,6,7,19,7,4,1,4,216,138,2,3,15,12,8,66,5,20,3,4,12,19,27,164,21,18,53,49,54,62,483,7,6,4,7,25,7,4,2,4,15,3,63,8,6,9,8,1,5,4,64,76,1,22,4,13,41,40,25,13
"82_A Lady_noise_-15dB_sample2.wav",187,58,16,431,79,24,6,111,29,62,15,15,226,282,3504,49,8,152,24,90,107,529,149,7,90,65,51,22993,34,44,11,48,19,70,484,53,11,2,22744,535,60,73,68,6,11,71,42,30,8,642,154,33,5,24,104,12,172,21,38,25,17,20,68,47,14,22,61,55,9,47,72,195,83,88,33,199,87,11,15,8,2,101,27,89,15,99,157,153,102,9,11,70,71,16,46,27,13,77,95,28,41
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video]_noise_-15dB_sample2.wav",162,2,3,17,3,2,2,5,7,16,4,4,24,11,43,10,5,146,8,25,2,526,22,7,44,6,0,11867,3,4,10,11,318,3,291,4,12,0,33,64,2,50,9,3,2,6,2,1,4,4,1,9,0,6,3,3,2,2,1,2,1,0,4,4,1,3,6,44,5,45,3,20,4,3,1,3,2,1,4,1,1,2,4,14,0,3,2,4,2,7,2,56,66,0,2,1,19,48,3,25,3
"76_073. Lindsey Stirling - Crystallize (Dubstep Violin Original Song)_noise_-15dB_sample1.wav",179,518,361,1838,373,195,29,67,59,28,87,19,39,140,854,87,41,149,32,64,36,529,568,84,153,103,24,15678,9,20,53,157,100,1197,412,44,121,10,76,71,11,52,308,2,115,13,8,150,66,190,44,10,1,600,147,16,132,135,29,21,10,15,23,194,40,8421,33,74,90,54,109,836,7,107,63,45,263,132,21,78,116,50,16,175,50,50,221,130,79,61,6,61,67,22,719,31,23,83,15,61,98
