"42_046. Meghan Trainor - NO_clean_sample1.wav",175,3,4,4,10,4,6,47,3,1,3,1,20,6,7,1,2,2,5,1,5,16,3,3,2,5,6,9,2031,3,8,7,16,1,2,35,12,4,5,4,6,2,5,4,14,3,26,5,7,2,8,10,4,7,2,4,1,2,5,4,4,3,3,8,5,8,3,4,9,7,8,46,10,18,10,1,4,5,0,3,3,9,6,12,1,6,17,38,2,2,4,1,2,1,2,24,4,3,12,2,12
"37_063. Bastille - Pompeii (Official Music Video)_clean_sample2.wav",160,16,2,124,3,6,4,17,2,3,4,6,7,3,3,3,2,87,8,5,13,6,10,1338,2,4,7,8,1,10,2,6,6,5,3,7,2,1,7,1,3,3,2,3,6,2,13,1,2,83,5,15,2,5,3,2,10,7,1,3,2,2,4,2,5,6,6,3,6,9,1,19,1,4,6,11,9,6,5,2,11,3,3,7,3,2,16,4,6,1,2,3,2,1,12,2,8,2,3,2,2
"53_102. What_clean_sample1.wav",168,54,2,154,8,39,18,1,1,11,14,33,7,2,71,6,24,5,11,31,3,9,12,7,21,2,3,3,42,5,10,2,14,5,9,5,6,1,2,2,4,3,46,2,10,3,7,27,2,59,6,2,3,5,5,3,43,10,15,19,2,2075,34,3,77,78,2,3,9,4,2,54,2,66,6,1,1,5,1,10,5,4,5,10,18,2,8,4,7,6,10,6,3,0,66,33,13,8,9,6,14
"47_020. Warriors (ft. Imagine Dragons)  Worlds 2014 - League of Legends_clean_sample2.wav",160,7,7,70,17,3,3,15,2,3,3,5,4,6,67,16,2,51,29,39,178,16,35,14,3,8,14,8,3,11,20,8,13,3,6,36,20,1,5,8,11,11,13,3,23,9,102,14,15,70,2,61,5,27,7,3,9,11,6,50,5,19,19,4,17,38,3,6,5,6726,51,110,1,4,155,39,71,14,1,6,1,4,9,13,4,2,64,18,92,6,2,8,46,6,41,50,7,17,7,4,12
"61_045. The Black Eyed Peas - I Gotta Feeling (Official Music Video)_clean_sample1.wav",163,8,30,5,2,3,8,0,3,3,9,1,7,30,7,25,1,7,0,3,4,68,2,20,38,2,3,1,3,2,1,4,37,8,25,6,14,6,0,43,1,1,12,1,4,111,7,2,7,47,107,72,3,5,11,8,10,21,4,3,2,24,1,2,11,14,3,11,4,10,36,40,104,1,15,7,24,10,2,12,2,3,4,305,7,4552,7,6,4,23,3,5,10,2,16,2,8,28,7,2,22
"92_025. Fall Out Boy - Immortals (From Big Hero 6)_clean_sample1.wav",156,26,5,33,5,4,6,27,14,4,2,18,27,13,8,6,30,32,11,5,5,6,1,11,3,16,5,1693,27,13,11,19,33,4,6,6,4,8,9,8,1,3,11,16,57,1,5,36,3,60,3,33,18,83,3,1,13,14,2,4,3,9,3,11,19,12,4,13,15,3,12,11,0,27,2,13,27,26,4,241,15,3,4,35,2,2,15,30,7,2,17,8,5,2,9,2,3,8,16,48,7
"87_079. twenty one pilots Heathens (from Suicide Squad The Album) [OFFICIAL VIDEO]_clean_sample1.wav",157,6,28,317,16,7,2,65,5,13,1,3,12,11,36,108,0,49,13,61,0,6,190,22,6,20,43,4,2,9,125,27,86,14,3,130,87,1,33,16,11,3,23,2,49,1,6,2,6,113,7,31,0,29,30,1,20,51,3,15,1,13,8,6,88,68,8,20,17,109,324,506,1,30,190,952,7,18,1,3,18,7,19,39,15,9,26,10,278,0,4,13,28,5,101,1,3,83,9,4,64
"70_You and Me_clean_sample2.wav",275,927,8,123,153,5,8,9,5,18,6,18,8,10,115,4,9,6,9,7,5,11,19,8,170,19,12,5,93,27,13,150,560,24,100,4,13,9,178,7,24,48,12,3,11,140,550,4,72,633,4,63,160,386,17,25,8,11,3,46,12,9,5,7,62,73,10,21,11,12,8,269,566,125,31528,12,8,919,6,39,4,10,19,997,11,39,12,33,20,11,5,19,11,3,17,12,984,17,658,12,15
"60_057. Get Off The Phone Song_clean_sample1.wav",153,7,2,10,9,5,12,15,34,6,1,10,7,6,8,15,2,7,28,14,6,9,5,12,2,3,3,12,4,14,3,12,27,2,3,10,5,2,5,2,2,16,7,2382,2,2,11,5,3,2,3,4,14,12,5,0,2,4,2,1,3,17,5,12,140,7,3,5,4,3,7,67,7,2,7,1,9,9,2,3,3,20,7,37,7,4,21,6,4,4,4,4,2,2,3,3,4,0,13,116,7
"30_Cannibal_clean_sample2.wav",235,958,115,347,160,231,5,36,42,35,7,10,43,88,138,11,10,7,19,36,5,6,217,224,16,37,52,76,20,17,4,175,409,314,11,58,135,2,306,10,15,60,27,12,151,3,844,2,42,723,14,18,106,424,168,11,11,121,20,19,16,52,15,46,1990,110,21,20,2,69,507,413,106,109,777,18,6,2160,4,24,8,21,19,25222,33,6,303,107,14,15,3,59,26,17,142,9,767,86,535,8,29
"100_059. Nilla Wafer Top Hat Time  Song - Rhett & Link_clean_sample2.wav",153,6,22,22,1,0,8,2,3,2,1,4,2,2,9,7,2,22,3,27,3,6,5,3,2,2,1,2,2,4,4,9,38,2,3,2,8,1,13,2,3,8,5,2,3,7,8,1,3,21,9,3,6,61,2,3,1,0,1,2,3,3,1,1,5,1,1,3,1,3,5,15,1,2,10,11,3,17,1,1,3,2,4,12,3,4,3,2,2020,9,3,1,1,2,3,8,5,0,7,6,2
