song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",10013,199654,91,2598,606,69,12
"5_002. Avicii - Wake Me Up (Official Video).wav",7263,74341,39,2247,583,46,4
"7_092. Harry Potter Medley on Marimba.wav",13115,559069,42,2514,601,97,34
"29_010. Katy Perry - Part Of Me (Official).wav",7773,55149,37,2036,522,51,3
"46_032. Katy Perry - Wide Awake (Official Video).wav",6730,62342,41,2204,561,49,3
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",6371,98837,28,1586,397,33,6
"97_075. Lindsey Stirling - Prism (Official Video).wav",7246,88941,36,1961,541,34,6
"84_001. Anna Kendrick - Cups.wav",6299,48125,38,2124,521,43,2
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",5269,44092,26,1151,391,22,2
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",4888,27793,32,1773,480,22,1
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",6787,66717,36,1901,496,44,4
"15_060. My OCD (Song).wav",10670,169501,40,2132,564,82,10
"85_011. Martin Garrix - Animals (Official Video).wav",7703,129583,28,1333,375,33,8
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",9260,139614,39,2211,586,51,9
"2_023. Rachel Platten - Fight Song (Official Video).wav",5181,57476,32,1715,439,30,3
"17_084. Thomas Rhett - Crash and Burn.wav",5115,44480,31,1719,458,27,2
"28_074. American Authors - Best Day Of My Life.wav",6589,98648,32,1774,468,31,6
"4_003. Lorde - Royals (US Version).wav",6446,69810,28,1641,412,32,4
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",7845,66910,46,2562,652,55,4
"0_096. Nightcore - Mad World.wav",4363,75580,24,1018,332,15,4
"77_065. Nightcore - Ghostbusters.wav",7976,320745,29,1654,414,60,19
"71_083. My Singing Monsters - Plant Island Theme.wav",5663,263792,14,620,206,19,16
"37_063. Bastille - Pompeii (Official Music Video).wav",6697,66009,34,1934,485,47,4
"95_053. Avicii - Hey Brother.wav",9277,121205,38,2105,536,65,7
"94_Banana Man.wav",8209,81978,36,2060,524,55,5
"14_099. Sheppard Geronimo - [International Version] (Official music Video).wav",6398,63100,33,1785,459,36,3
"92_025. Fall Out Boy - Immortals (From Big Hero 6).wav",6299,81636,37,1974,511,41,4
"42_046. Meghan Trainor - NO.wav",5117,41586,33,1805,470,26,2
"73_Turn the Lights Off.wav",4757,56405,27,1222,370,21,11
"9_034. Pitbull - Timber (Official Video) ft. Ke$ha.wav",4865,36458,32,1808,449,23,2
"18_044. tony igy-stop in my mind.wav",13761,496416,41,2329,637,133,41
"101_070. Eminence - Knock Me Out (feat. Anna Cyzon) [Monstercat Official Music Video].wav",15272,886886,42,2278,583,145,56
"31_058. Rub Some Bacon on It.wav",6240,90047,27,1296,378,30,5
"59_014. Avicii - Hey Brother (Lyric).wav",9485,117844,39,2171,551,64,7
