"79_095. Alan Walker - Alone_noise_-10dB_sample1.wav",228,3,52,4,2,5,11,2,2,1,2,2,2,6,33,1,11,173,113,77,1,55,44,3,73,2,1,2,6,0,11,11,44,6,4,3,1,1,3,7,0,2,6,1,2,3,104,2,1,6,3,11,11,16,4,2,7,26,179,4,2,0,1,2,1,1,0,13,0,2,2,4,0,6,48,17,1,18,2,8,3,17,1,6,2,34,4,1,3,1,1,2,1,2,69,2,54,20,8,2,8
"42_046. Meghan Trainor - NO_noise_-10dB_sample2.wav",202,3,48,4,1,2,12,1,2,0,2,2,1,1,3,3,13,173,138,77,3,66,48,2,66,2,1,0,181,2,11,11,44,2,4,4,1,0,4,1,2,2,0,1,4,3,104,4,5,2,1,11,11,2,1,0,0,22,0,1,0,6,0,3,2,1,0,13,2,0,2,6,0,0,52,11,0,14,2,4,0,15,3,6,1,25,2,3,3,1,0,1,1,1,77,2,52,4,2,2,2
"46_032. Katy Perry - Wide Awake (Official Video)_noise_-10dB_sample2.wav",217,0,44,4,0,58,11,0,1,1,3,1,4,1,26,0,11,179,99,67,3,46,44,3,46,5,0,4,2,0,11,11,28,4,12,3,0,0,26,2,0,6,0,1,2,1,97,0,0,1,1,11,12,8,0,0,0,22,0,0,0,6,6,6,0,0,0,11,0,1,0,0,0,3,52,15,4,21,1,6,0,15,2,3,0,40,5,6,6,1,3,2,1,2,57,1,51,4,6,0,6
"102_018. Shawn Mendes - Stitches (Official Music Video)_noise_-10dB_sample1.wav",201,2,26,4,1,14,5,1,0,0,1,159,1,6,4,1,9,157,42,62,0,37,27,4,35,6,0,0,4,1,3,11,38,6,5,5,0,0,0,0,0,2,6,0,2,5,51,5,0,28,1,11,9,12,1,0,3,19,3,4,1,6,1,0,2,3,0,5,0,2,0,0,3,14,26,9,0,14,4,8,1,13,3,5,2,28,0,2,0,2,0,0,1,3,39,1,34,6,7,3,1
"59_014. Avicii - Hey Brother (Lyric)_noise_-10dB_sample2.wav",189,233,48,5,2,4,45,1,1,2,5,1,60,66,18,4,11,173,120,77,2,56,48,2,2589,3,60,1,2,3,11,11,26,31,3676,3,25,0,4,0,2,6,57,1,2,8,94,9,1,160,1,57,11,8,39,1,4,52,4,18,15,3,2,6,10,74,4,12,1,0,2,1,2,4,58,17,1,32,1,4,1,21,14,102,49,31,3,3,3,206,0,2,2,4,138,1,55,9,9,17,2
"71_083. My Singing Monsters - Plant Island Theme_noise_-10dB_sample1.wav",182,51,52,162,1,3,11,34,2,2,2,2,4,8,3,1,11,149,83,71,141,47,2543,8,48,6,2,1,1,0,11,11,24,41,4,12,2,0,4,1,0,3,2,2,1,0,88,0,5,47,1,11,11,2,0,0,4,26,0,2,1,33,2,1,8,178,4,12,0,1,3,10,0,6,48,30,0,11,3,12,48,15,2,171,1,51,4,2,10,2,0,5,1,13,61,0,46,8,10,3,1
"31_058. Rub Some Bacon on It_noise_-10dB_sample1.wav",185,2,84,1279,60,124,12,21,7,12,0,2,3,0,88,4,15,161,136,77,3,65,48,6,80,91,1,25,2,3,11,30,30,1155,6,7,52,0,0,8,1,2,1,0,57,0,100,1,4,3,13,13,11,273,73,1,1,28,0,1,0,2,13,131,2,23,1,12,14,1,7,133,0,3,59,21,0,15,18,16,0,17,9,39,2,31,26,110,2,2,0,8,2,5,77,2,57,5,14,1,8
"1_028. Capital Cities - Safe And Sound_noise_-10dB_sample2.wav",185,3,50,2,0,4,11,1,0,1,0,2,2,1,3,5,12,166,107,77,2,64,62,5,63,3,0,1,3,1,11,11,34,3,6,5,29,0,0,1,2,2,2,2,1,0,92,0,0,0,1,11,11,7,0,0,2,23,0,2,1,4,2,2,0,0,1,13,1,1,3,2,2,3,56,21,0,14,2,5,0,17,0,1,1,31,4,1,1,1,2,2,2,2,72,1,63,5,16,1,2
"81_013. Passenger  Let Her Go (Official Video)_noise_-10dB_sample1.wav",180,0,46,5,0,5,11,0,2,2,0,1,0,1,1,0,11,179,121,74,6,58,44,4,67,4,1,5,3,0,11,11,32,4,6,2,1,0,2,0,1,3,1,0,3,0,113,0,0,0,0,11,11,16,1,0,0,28,0,4,0,6,168,2,1,1,0,13,0,1,2,2,0,6,54,17,2,12,2,12,1,17,1,2,1,28,2,0,4,2,2,2,4,4,75,3,56,5,5,2,55
"30_Cannibal_noise_-10dB_sample1.wav",189,45,54,556,28,8,29,108,25,3,0,2,24,1,48,14,10,154,110,81,0,33,771,34,1136,27,445,0,2,10,49,16,34,78,967,32,31,2,36,18,32,16,9,3,3,3,310,0,36,488,113,11,16,4354,27,8,4,22,9,16,0,218,6,7,104,988,131,45,50,66,21,1367,2,28,58,21,3,48,5,7,16,18,0,24486,45,145,60,142,8,1,7,61,23,8,52,2,48,8,16,3,43
